epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5481,0.57389,0.64994,0.39253,0.88519,0.98152,1,0.995,0.87908,0.98152,1,0.995,0.81432,0.68815,0.99255,0.36472,0.89978,0.0672324,0.000330986,0.000330986
2,24.6851,0.55099,0.60247,0.37489,0.87936,0.99796,1,0.995,0.85705,0.99796,1,0.995,0.80203,0.63704,1.41121,0.36596,0.8291,0.0342105,0.000642397,0.000642397
3,35.8951,0.56778,0.6488,0.38384,0.88395,0.99784,1,0.995,0.90278,0.99784,1,0.995,0.81302,0.58653,1.01434,0.34673,0.82553,0.00116655,0.000931808,0.000931808
4,58.9957,0.56806,0.63805,0.39258,0.88606,0.99809,1,0.995,0.92471,0.99809,1,0.995,0.81404,0.51786,1.05307,0.30752,0.78287,0.000901,0.000901,0.000901
5,80.746,0.56697,0.62915,0.38059,0.87726,0.98734,1,0.995,0.85158,0.98734,1,0.995,0.83112,0.68685,0.87975,0.36685,0.80264,0.000868,0.000868,0.000868
6,102.815,0.56013,0.60208,0.37285,0.88264,0.98003,1,0.995,0.8937,0.98003,1,0.995,0.84851,0.563,0.9827,0.3255,0.83469,0.000835,0.000835,0.000835
7,124.805,0.5517,0.60084,0.36645,0.8911,0.9854,1,0.995,0.89324,0.9854,1,0.995,0.86902,0.56905,0.84912,0.32303,0.81269,0.000802,0.000802,0.000802
8,146.854,0.5474,0.60303,0.37097,0.88338,0.98266,1,0.995,0.92011,0.98266,1,0.995,0.86815,0.54776,0.92032,0.36633,0.79341,0.000769,0.000769,0.000769
9,168.551,0.55103,0.60834,0.37317,0.87937,0.99806,1,0.995,0.92754,0.99806,1,0.995,0.81822,0.55506,1.00535,0.31747,0.80546,0.000736,0.000736,0.000736
10,190.014,0.54727,0.62049,0.35588,0.87731,0.99789,1,0.995,0.87878,0.99789,1,0.995,0.84877,0.61154,0.88733,0.34087,0.81841,0.000703,0.000703,0.000703
11,211.538,0.54128,0.5981,0.34837,0.87703,0.99799,1,0.995,0.90075,0.99799,1,0.995,0.84681,0.57895,0.89387,0.29451,0.81979,0.00067,0.00067,0.00067
12,232.958,0.56078,0.62516,0.35649,0.88128,0.98515,1,0.995,0.89412,0.98515,1,0.995,0.8016,0.59912,0.9351,0.31245,0.80552,0.000637,0.000637,0.000637
13,254.551,0.55562,0.62778,0.35568,0.88147,0.99822,1,0.995,0.88695,0.99822,1,0.995,0.81155,0.62451,1.04699,0.32454,0.81246,0.000604,0.000604,0.000604
14,276.05,0.5533,0.62757,0.35896,0.89077,0.98832,1,0.995,0.85481,0.98832,1,0.995,0.80581,0.66252,0.98172,0.34014,0.8186,0.000571,0.000571,0.000571
15,297.743,0.52102,0.57037,0.3311,0.86186,0.99809,1,0.995,0.90872,0.99809,1,0.995,0.80435,0.55732,0.97701,0.27789,0.80566,0.000538,0.000538,0.000538
16,319.656,0.5395,0.61714,0.34581,0.8809,0.98518,1,0.995,0.90269,0.98518,1,0.995,0.82935,0.5583,0.92121,0.29803,0.82976,0.000505,0.000505,0.000505
17,341.337,0.53169,0.60284,0.33866,0.87292,0.98495,1,0.995,0.91121,0.98495,1,0.995,0.81235,0.52061,0.90409,0.29806,0.8104,0.000472,0.000472,0.000472
18,363.192,0.51442,0.56305,0.32649,0.87324,0.9849,1,0.995,0.90548,0.9849,1,0.995,0.86618,0.5654,0.87533,0.27989,0.82329,0.000439,0.000439,0.000439
