epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3106,0.91262,1.70462,1.61046,1.04795,0,0,0,0,0,0,0,0,1.44857,5.79342,4.34495,1.19863,0.0675156,0.000328125,0.000328125
2,38.2017,0.65332,0.7966,0.5583,0.90139,0.9292,0.93306,0.99313,0.84182,0.7326,0.93333,0.91749,0.57642,0.82073,3.10282,0.89019,0.95442,0.0344938,0.00063963,0.00063963
3,55.7256,0.6299,0.71951,0.50623,0.89871,0.90341,0.9961,0.97971,0.78204,0.90341,0.9961,0.97971,0.73018,0.90734,1.58181,0.59579,0.89081,0.00144997,0.000929135,0.000929135
4,73.4773,0.61308,0.65644,0.46911,0.89089,0.92898,0.99542,0.98687,0.8638,0.92898,0.99542,0.98687,0.77546,0.68756,1.28016,0.59495,0.83483,0.000901,0.000901,0.000901
5,91.0184,0.59192,0.6266,0.44294,0.88919,0.98656,1,0.995,0.87778,0.98656,1,0.995,0.78337,0.64682,1.00382,0.48493,0.84752,0.000868,0.000868,0.000868
6,108.628,0.57204,0.60564,0.42095,0.88435,0.98718,1,0.995,0.88751,0.98718,1,0.995,0.7702,0.68135,1.27226,0.48775,0.84455,0.000835,0.000835,0.000835
7,126.389,0.55954,0.59642,0.4092,0.88197,0.97725,1,0.995,0.87046,0.97725,1,0.995,0.7818,0.73453,1.26424,0.43668,0.84321,0.000802,0.000802,0.000802
8,144.095,0.55468,0.58425,0.39995,0.87928,0.96785,1,0.995,0.88272,0.96785,1,0.995,0.8448,0.72011,1.03878,0.49429,0.81716,0.000769,0.000769,0.000769
9,161.842,0.54165,0.57296,0.38139,0.87458,0.97323,1,0.995,0.90424,0.97323,1,0.995,0.80309,0.59603,1.01836,0.37203,0.80593,0.000736,0.000736,0.000736
10,179.537,0.53507,0.57144,0.3675,0.87198,0.98109,1,0.995,0.86925,0.98109,1,0.995,0.79706,0.69267,1.20578,0.40706,0.79283,0.000703,0.000703,0.000703
11,197.286,0.52843,0.55245,0.36226,0.86725,0.9791,1,0.995,0.89742,0.9791,1,0.995,0.8168,0.65411,1.07002,0.35554,0.80578,0.00067,0.00067,0.00067
12,214.927,0.51832,0.53944,0.35209,0.86474,0.97622,1,0.995,0.86063,0.97622,1,0.995,0.7761,0.79588,1.01117,0.41732,0.82257,0.000637,0.000637,0.000637
13,232.849,0.51201,0.53041,0.34767,0.86471,0.97445,1,0.995,0.89379,0.97445,1,0.995,0.82485,0.57921,0.95416,0.38986,0.80642,0.000604,0.000604,0.000604
14,250.627,0.50587,0.52785,0.3404,0.86297,0.98189,1,0.995,0.89236,0.98189,1,0.995,0.85734,0.6762,0.8339,0.36437,0.79695,0.000571,0.000571,0.000571
15,268.442,0.49465,0.53552,0.33004,0.8589,0.98216,1,0.995,0.90092,0.98216,1,0.995,0.80379,0.60449,1.02097,0.334,0.81641,0.000538,0.000538,0.000538
16,286.445,0.48775,0.51477,0.32546,0.85473,0.98308,1,0.995,0.89761,0.98308,1,0.995,0.84945,0.66384,0.91469,0.36278,0.83284,0.000505,0.000505,0.000505
17,304.439,0.49563,0.5103,0.32338,0.86178,0.98452,1,0.995,0.921,0.98452,1,0.995,0.85657,0.54394,0.89112,0.31443,0.80178,0.000472,0.000472,0.000472
18,322.503,0.4832,0.4916,0.31722,0.85661,0.98677,1,0.995,0.8859,0.98677,1,0.995,0.78077,0.59497,1.01994,0.35504,0.82586,0.000439,0.000439,0.000439
19,340.653,0.47893,0.49756,0.30811,0.85856,0.99718,1,0.995,0.89752,0.99718,1,0.995,0.82348,0.62923,0.91598,0.34735,0.81917,0.000406,0.000406,0.000406
20,358.507,0.47605,0.47941,0.30585,0.85401,0.98452,1,0.995,0.9078,0.98452,1,0.995,0.83492,0.61054,0.85666,0.33034,0.8061,0.000373,0.000373,0.000373
