epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,388.066,0.42305,0.42663,0.26966,0.82623,0.984,1,0.995,0.89474,0.984,1,0.995,0.81242,0.59249,0.94118,0.29272,0.80042,0.00034,0.00034,0.00034
22,404.804,0.41477,0.4227,0.26771,0.82766,0.97818,1,0.995,0.9088,0.97818,1,0.995,0.86944,0.56262,0.78698,0.33072,0.85027,0.000307,0.000307,0.000307
23,421.457,0.41057,0.40895,0.26089,0.82036,0.9832,1,0.995,0.91114,0.9832,1,0.995,0.84954,0.59442,0.78509,0.31872,0.78914,0.000274,0.000274,0.000274
24,438.166,0.40431,0.40236,0.25403,0.81789,0.98361,1,0.995,0.90034,0.98361,1,0.995,0.81575,0.57201,0.87394,0.32031,0.81608,0.000241,0.000241,0.000241
25,454.795,0.40107,0.40109,0.24882,0.81794,0.9828,1,0.995,0.91778,0.9828,1,0.995,0.84801,0.54751,0.77934,0.30927,0.81274,0.000208,0.000208,0.000208
26,471.533,0.3929,0.39243,0.24183,0.81913,0.98401,1,0.995,0.93246,0.98401,1,0.995,0.87092,0.49606,0.73141,0.28936,0.77346,0.000175,0.000175,0.000175
27,488.343,0.38467,0.38946,0.23614,0.81838,0.98519,1,0.995,0.9177,0.98519,1,0.995,0.88259,0.51415,0.74785,0.29168,0.79388,0.000142,0.000142,0.000142
28,505.183,0.38228,0.38634,0.23383,0.81539,0.9817,1,0.995,0.9114,0.9817,1,0.995,0.87569,0.51751,0.73336,0.28056,0.80749,0.000109,0.000109,0.000109
29,522.144,0.37602,0.37864,0.22754,0.81148,0.98514,1,0.995,0.91482,0.98514,1,0.995,0.8604,0.50251,0.79219,0.2758,0.80275,7.6e-05,7.6e-05,7.6e-05
30,538.976,0.36956,0.37758,0.22179,0.81026,0.98614,1,0.995,0.9264,0.98614,1,0.995,0.87696,0.48163,0.72092,0.27783,0.78455,4.3e-05,4.3e-05,4.3e-05
