epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1249,1.18744,2.5272,2.62018,1.21283,0,0,0,0,0,0,0,0,1.74949,40.827,3.72347,1.78248,0.07228,0.00028,0.00028
2,18.3677,0.77588,1.00326,0.78458,0.95114,0.5,0.5,0.4975,0.44775,0.5,0.5,0.4975,0.199,1.24685,6.16316,3.75637,1.24785,0.0435512,0.00055119,0.00055119
3,26.5502,0.74132,0.87456,0.63174,0.92456,0.4212,1,0.995,0.80908,0.4212,1,0.995,0.75881,1.15976,1.88258,2.50074,1.29949,0.0148032,0.00080324,0.00080324
4,34.7519,0.69242,0.83393,0.58632,0.91177,0.88084,1,0.99313,0.86316,0.88084,1,0.99313,0.77552,0.76133,1.43768,1.15203,0.94114,0.000901,0.000901,0.000901
5,42.9284,0.66579,0.79793,0.55074,0.89928,0.92865,1,0.995,0.82792,0.92865,1,0.995,0.74194,0.83687,1.45435,0.66433,1.0211,0.000868,0.000868,0.000868
6,51.1371,0.65247,0.73274,0.51863,0.89539,0.96645,1,0.995,0.90078,0.96645,1,0.995,0.78255,0.6183,1.14697,0.50269,0.84951,0.000835,0.000835,0.000835
7,59.2703,0.65297,0.70776,0.50422,0.9094,0.97784,1,0.995,0.85447,0.97784,1,0.995,0.80905,0.68077,1.01001,0.51941,0.8471,0.000802,0.000802,0.000802
8,67.5653,0.60184,0.69917,0.46424,0.87824,0.98109,1,0.995,0.87008,0.98109,1,0.995,0.79733,0.66499,1.04774,0.48951,0.89437,0.000769,0.000769,0.000769
9,75.8016,0.59637,0.68244,0.45729,0.87808,0.98454,1,0.995,0.85359,0.98454,1,0.995,0.8092,0.74996,1.05751,0.43617,0.92158,0.000736,0.000736,0.000736
10,83.9831,0.59231,0.66933,0.45451,0.87727,0.98463,1,0.995,0.87438,0.98463,1,0.995,0.78022,0.72304,1.08258,0.40456,0.89797,0.000703,0.000703,0.000703
11,92.0883,0.57827,0.67036,0.43541,0.87972,0.97897,1,0.995,0.90115,0.97897,1,0.995,0.78319,0.66435,1.06121,0.44564,0.82394,0.00067,0.00067,0.00067
12,100.33,0.57253,0.65134,0.42235,0.87864,0.97219,1,0.995,0.86281,0.97219,1,0.995,0.77603,0.65753,1.10193,0.40686,0.8409,0.000637,0.000637,0.000637
13,108.432,0.57562,0.66639,0.42634,0.87712,0.99128,1,0.995,0.90436,0.99128,1,0.995,0.79279,0.60942,1.18988,0.37848,0.8146,0.000604,0.000604,0.000604
14,116.636,0.56977,0.63872,0.41161,0.86999,0.98313,1,0.995,0.89459,0.98313,1,0.995,0.80309,0.62958,0.9487,0.38188,0.8126,0.000571,0.000571,0.000571
15,124.962,0.55347,0.6272,0.39791,0.87101,0.98431,1,0.995,0.89542,0.98431,1,0.995,0.86006,0.61988,0.91651,0.35717,0.83485,0.000538,0.000538,0.000538
16,133.044,0.55387,0.64267,0.3862,0.87295,0.97998,1,0.995,0.8665,0.97998,1,0.995,0.827,0.67637,0.86898,0.3528,0.8465,0.000505,0.000505,0.000505
17,141.275,0.54761,0.64256,0.38903,0.86942,0.97781,1,0.995,0.87735,0.97781,1,0.995,0.86474,0.60794,0.80811,0.38449,0.8271,0.000472,0.000472,0.000472
18,149.453,0.53436,0.61765,0.37825,0.86171,0.99004,1,0.995,0.87272,0.99004,1,0.995,0.79177,0.66026,1.00978,0.3703,0.81473,0.000439,0.000439,0.000439
19,157.644,0.54518,0.6016,0.38073,0.8642,0.98785,1,0.995,0.9073,0.98785,1,0.995,0.83485,0.54434,1.00458,0.32195,0.80345,0.000406,0.000406,0.000406
20,166.524,0.53346,0.59933,0.3669,0.86471,0.98655,1,0.995,0.90923,0.98655,1,0.995,0.78951,0.57997,1.03624,0.3692,0.79727,0.000373,0.000373,0.000373
21,189.337,0.4721,0.53801,0.33725,0.83594,0.98892,1,0.995,0.85625,0.98892,1,0.995,0.83096,0.71269,1.01287,0.3719,0.82494,0.00034,0.00034,0.00034
22,197.241,0.47124,0.54385,0.32554,0.84075,0.98448,1,0.995,0.8964,0.98448,1,0.995,0.85566,0.65369,0.89866,0.33956,0.82388,0.000307,0.000307,0.000307
23,206.609,0.4606,0.52272,0.31624,0.83858,0.98575,1,0.995,0.88684,0.98575,1,0.995,0.79897,0.63434,0.9506,0.35778,0.82449,0.000274,0.000274,0.000274
24,217.769,0.45887,0.5125,0.30895,0.82962,0.98772,1,0.995,0.89895,0.98772,1,0.995,0.86158,0.60544,0.84382,0.341,0.80947,0.000241,0.000241,0.000241
25,228.847,0.44955,0.5037,0.30469,0.83108,0.98956,1,0.995,0.89433,0.98956,1,0.995,0.81176,0.57129,0.88981,0.31802,0.81192,0.000208,0.000208,0.000208
26,239.662,0.44339,0.49903,0.29277,0.83185,0.98716,1,0.995,0.87375,0.98716,1,0.995,0.8481,0.62553,0.86644,0.3095,0.82141,0.000175,0.000175,0.000175
27,250.853,0.4396,0.50061,0.29382,0.82701,0.98538,1,0.995,0.89832,0.98538,1,0.995,0.85536,0.57063,0.84206,0.31441,0.80895,0.000142,0.000142,0.000142
