epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8127,0.96873,1.87886,1.78357,1.09562,0,0,0,0,0,0,0,0,1.31621,17.3251,4.48018,1.50251,0.0676226,0.000327044,0.000327044
2,31.7524,0.68612,0.84991,0.58988,0.91416,0.93002,1,0.995,0.85776,0.89817,0.96667,0.96422,0.70763,0.81965,3.07271,1.45519,0.94413,0.0346008,0.000638585,0.000638585
3,46.5108,0.64756,0.73018,0.52317,0.90518,0.9378,1,0.995,0.83345,0.9378,1,0.995,0.76155,0.74905,1.18748,0.60881,0.90863,0.00155706,0.000928126,0.000928126
4,61.6602,0.62957,0.69264,0.49295,0.90196,0.98534,1,0.995,0.84608,0.98534,1,0.995,0.76614,0.85825,1.37639,0.5109,0.91025,0.000901,0.000901,0.000901
5,76.9559,0.5959,0.64274,0.45056,0.89143,0.9867,1,0.995,0.86224,0.9867,1,0.995,0.76396,0.78889,1.21688,0.52662,0.90635,0.000868,0.000868,0.000868
6,92.1162,0.57914,0.62049,0.42518,0.8839,0.97917,1,0.995,0.86032,0.97917,1,0.995,0.78271,0.7329,1.28602,0.48549,0.87184,0.000835,0.000835,0.000835
7,107.209,0.57169,0.61548,0.41244,0.88067,0.97778,1,0.995,0.88183,0.97778,1,0.995,0.792,0.69188,1.09236,0.42586,0.80704,0.000802,0.000802,0.000802
8,122.2,0.57085,0.63384,0.41181,0.88109,0.95962,1,0.995,0.85497,0.95962,1,0.995,0.76509,0.65496,1.21875,0.47449,0.83686,0.000769,0.000769,0.000769
9,137.206,0.57072,0.60383,0.4048,0.87925,0.98407,1,0.995,0.88047,0.98407,1,0.995,0.77092,0.70221,1.12424,0.43289,0.82698,0.000736,0.000736,0.000736
10,152.293,0.54721,0.5862,0.38619,0.87178,0.98219,1,0.995,0.87468,0.98219,1,0.995,0.78635,0.6735,0.97794,0.35388,0.83126,0.000703,0.000703,0.000703
11,167.2,0.5367,0.5789,0.37244,0.86867,0.9815,1,0.995,0.87263,0.9815,1,0.995,0.79637,0.7377,1.07754,0.3828,0.84995,0.00067,0.00067,0.00067
12,182.087,0.52924,0.55872,0.36447,0.8665,0.98519,1,0.995,0.88202,0.98519,1,0.995,0.83623,0.68377,0.98637,0.37317,0.86406,0.000637,0.000637,0.000637
13,196.998,0.52879,0.57208,0.35972,0.86359,0.97859,1,0.995,0.89853,0.97859,1,0.995,0.77183,0.59273,1.1561,0.36636,0.79098,0.000604,0.000604,0.000604
14,211.913,0.51069,0.54252,0.34672,0.86046,0.97966,1,0.995,0.86481,0.97966,1,0.995,0.8089,0.63165,0.96954,0.33298,0.82283,0.000571,0.000571,0.000571
15,226.824,0.51507,0.54055,0.34542,0.86217,0.98576,1,0.995,0.87412,0.98576,1,0.995,0.80731,0.73906,1.01189,0.41214,0.83154,0.000538,0.000538,0.000538
16,241.792,0.50523,0.52895,0.34093,0.85892,0.9781,1,0.995,0.89442,0.9781,1,0.995,0.7993,0.60127,1.09579,0.33778,0.82349,0.000505,0.000505,0.000505
17,256.813,0.50229,0.53991,0.33628,0.85829,0.97874,1,0.995,0.89835,0.97874,1,0.995,0.77563,0.61671,1.28116,0.3185,0.81487,0.000472,0.000472,0.000472
18,271.74,0.483,0.51349,0.3181,0.85419,0.98278,1,0.995,0.89855,0.98278,1,0.995,0.86086,0.59895,0.9217,0.32112,0.81799,0.000439,0.000439,0.000439
19,286.662,0.48502,0.50435,0.31816,0.85392,0.98601,1,0.995,0.88738,0.98601,1,0.995,0.8156,0.6099,0.9487,0.3521,0.81425,0.000406,0.000406,0.000406
20,301.708,0.47924,0.5028,0.31311,0.8536,0.98551,1,0.995,0.9002,0.98551,1,0.995,0.82687,0.66685,0.87759,0.35622,0.82132,0.000373,0.000373,0.000373
21,328.4,0.43708,0.45093,0.28386,0.83154,0.98306,1,0.995,0.86548,0.98306,1,0.995,0.77193,0.69096,1.03911,0.3607,0.85619,0.00034,0.00034,0.00034
22,342.331,0.43759,0.44244,0.28218,0.82802,0.9864,1,0.995,0.88145,0.9864,1,0.995,0.80476,0.60364,0.98056,0.33421,0.80708,0.000307,0.000307,0.000307
23,356.337,0.42525,0.43941,0.27463,0.82768,0.98469,1,0.995,0.89139,0.98469,1,0.995,0.84948,0.56388,0.80264,0.31033,0.81582,0.000274,0.000274,0.000274
24,370.427,0.41654,0.42662,0.26719,0.82164,0.9838,1,0.995,0.89695,0.9838,1,0.995,0.82336,0.56553,0.87119,0.30886,0.84446,0.000241,0.000241,0.000241
25,384.488,0.41284,0.42354,0.26258,0.82361,0.98236,1,0.995,0.89667,0.98236,1,0.995,0.84017,0.56625,0.79475,0.29484,0.81607,0.000208,0.000208,0.000208
26,398.388,0.40509,0.4147,0.25442,0.82369,0.98493,1,0.995,0.90252,0.98493,1,0.995,0.81891,0.5324,0.86002,0.30286,0.80612,0.000175,0.000175,0.000175
27,412.264,0.39714,0.41187,0.24619,0.82105,0.98483,1,0.995,0.896,0.98483,1,0.995,0.82348,0.57972,0.8612,0.29552,0.81122,0.000142,0.000142,0.000142
28,426.24,0.39577,0.40896,0.24536,0.81854,0.98408,1,0.995,0.89936,0.98408,1,0.995,0.84218,0.52677,0.80036,0.29092,0.78933,0.000109,0.000109,0.000109
